adname,adress,divisions,lng,lat,bd09lng,bd09lat,wgs84lng,wgs84lat
塘外村法治微公园,紫苑路与塘外·人民路交叉口东北20米,奉贤区,121.6168586,30.90444561,121.6234456,30.91008455,121.6126792,30.90682146
青溪法治公园,青村·人民路与青村北路交叉口西南160米,奉贤区,121.5774978,30.92809144,121.583922,30.9343086,121.5733067,30.9304521
海塘公园,海湾镇,奉贤区,121.4880983,30.83704486,121.4946704,30.84274815,121.4836577,30.83924832
上海九棵树艺术公园,汇丰西路188号,奉贤区,121.4702586,30.94893415,121.4767492,30.95492651,121.4657486,30.95102193
卫季村党建微公园,团结支路与大卫路交叉口西南40米,奉贤区,121.5973481,30.90475156,121.6038781,30.91061343,121.5931735,30.90713505
江海法治广场,南桥江海花园(上海绕城高速公路北),奉贤区,121.458532,30.90473575,121.4649749,30.91094042,121.4539909,30.90682042
火车头广场,海泉路100号,奉贤区,121.5108005,30.84595333,121.5173846,30.85164706,121.5064405,30.84821959
交通法治广场,瞭海路与星中路交叉口西南100米,奉贤区,121.5621152,30.86626647,121.5685422,30.87263375,121.5579042,30.86864434
上海之鱼泡泡公园,秀竹路上海之鱼南侧,奉贤区,121.4970778,30.92876532,121.5036502,30.93440016,121.4926615,30.93094212
南闸公园,海佳路,奉贤区,121.5281261,30.82326098,121.5346203,30.82922149,121.5238273,30.82558936
青年艺术公园,上海之鱼内(东侧),奉贤区,121.5010204,30.93493947,121.5075943,30.94057072,121.4966178,30.93712446
水边广场,南桥镇湖畔路333号奉贤博物馆,奉贤区,121.4980236,30.93594591,121.5045975,30.94157867,121.4936101,30.93812129
上海之鱼-年丰公园,年丰路与湖堤路交叉口东南120米,奉贤区,121.4904224,30.93473285,121.496985,30.94040847,121.4859818,30.93688621
古华园,解放中路87号,奉贤区,121.4601775,30.91987689,121.4666151,30.92605188,121.4556397,30.9219565
上海奉贤建材市场文化娱乐广场,大叶公路7268号,奉贤区,121.6469498,30.98335478,121.6534828,30.98930138,121.6427267,30.98564544
东南广场,南桥镇解放中路220号古华园(东侧),奉贤区,121.4620191,30.91914797,121.4684651,30.92529169,121.4574866,30.92123244
奉城中心公园,奉城镇奉城老街北侧,奉贤区,121.6500506,30.91826289,121.6565345,30.92425983,121.6458276,30.92058686
新张村党建微公园,南张中心路与奉柘公路交叉口北300米,奉贤区,121.5331755,30.87294923,121.5396793,30.87901444,121.5288887,30.87526241
红叶公园,环城东路2411号,奉贤区,121.4698482,30.9029862,121.4763444,30.90898833,121.4653408,30.90510006
五一公园,百通路与望园南路交叉口东南方向,奉贤区,121.4863273,30.91664536,121.4928824,30.9223666,121.4818738,30.91879734
庄行公园,贤明路与钜庭路交叉口东240米,奉贤区,121.4184883,30.90834571,121.4249402,30.91450024,121.4138719,30.91036542
上海都市菜园-营地公园,海湾镇海兴路888弄1号上海都市菜园,奉贤区,121.5858577,30.86623812,121.5923568,30.87232144,121.5816802,30.86864104
六墩公园,南庄路与六墩中心路交叉口东北120米,奉贤区,121.461738,30.89957779,121.4681996,30.90573066,121.4572064,30.90167311
景观广场,南桥镇解放中路220号古华园(北侧),奉贤区,121.460038,30.92118977,121.4664744,30.92736691,121.4554997,30.92326827
正阳中央公园,南桥镇,奉贤区,121.4732243,30.9142409,121.4797267,30.92017632,121.4687267,30.91635717
星空公园,金钱公路与褚家路交叉口北340米,奉贤区,121.507764,30.92841133,121.5143299,30.9340716,121.5033862,30.93062041
正阳体育公园,南桥镇正环路669弄82号,奉贤区,121.478318,30.90884553,121.4848485,30.91468958,121.4738377,30.91097907
市民公园,百秀路与百齐路交叉口东北50米,奉贤区,121.4821196,30.91568053,121.4886604,30.92146086,121.4776516,30.91782086
青村书法公园,南奉公路与南明路交叉路口西北侧,奉贤区,121.5710513,30.92664576,121.5774545,30.93294624,121.5668513,30.92900053
微光公园,海农公路1588号,奉贤区,121.5616335,30.86370927,121.5680596,30.87007728,121.5574218,30.86608786
海湾镇火车头城市广场,海农公路与民乐路交叉口,奉贤区,121.5609031,30.86414598,121.5673291,30.87051495,121.5566898,30.86652315
达令港公园,汇中路与金闸公路交叉口东南500米,奉贤区,121.5048457,30.98739575,121.5114549,30.9930478,121.5004525,30.98956114
Harbour天台滑板公园,金海公路3399号新世界商业广场c区4-068号,奉贤区,121.4901269,30.91660769,121.4966927,30.92228708,121.4856868,30.9187709
百曲村沿港三组微公园,百曲村沿港334号,奉贤区,121.5282993,30.96088719,121.5348085,30.966855,121.5239897,30.96313573
奉贤区浦南运河法治公园,奉浦街道运河路沿线南上海运河公园(西南角),奉贤区,121.4666721,30.92444597,121.4731374,30.93050442,121.462153,30.92653892
牡丹文化休闲广场,庄行镇安中路153号,奉贤区,121.3950781,30.96303487,121.4016466,30.96877919,121.3904511,30.96501757
沙贝微公园,李家路与白沙路交叉口东40米,奉贤区,121.5233286,30.94705931,121.5298482,30.95293144,121.5190037,30.94930247
奉浦四季生态园,奉浦社区韩谊路515号,奉贤区,121.4656217,30.93715367,121.4720826,30.94323188,121.4610984,30.93923642
朱店村党建微公园,沿钱公路4438号西90米,奉贤区,121.5504656,30.92196187,121.5568665,30.92827752,121.5462237,30.92428615
待问公园,西闸公路1846号,奉贤区,121.420518,30.98601767,121.4269883,30.99221313,121.4158968,30.98799294
春来市民微公园,头桥东路与新奉公路交叉口东160米,奉贤区,121.6436714,30.94817131,121.6501904,30.95404972,121.6394566,30.95048821
望春园,菜场路165-167号,奉贤区,121.4509539,30.90395546,121.457372,30.9102605,121.446393,30.90602392
美乐尔主题公园,南桥镇沪杭公路228号连城商业广场2号楼三楼,奉贤区,121.4264257,30.99122837,121.4328746,30.99750938,121.4218107,30.99320615
兰博广场,兰博路奉德苑东南侧约80米,奉贤区,121.6363307,30.90688962,121.6428847,30.91264844,121.6321304,30.90924209
文化广场(南桥路),解放西路000号,奉贤区,121.4521732,30.91572126,121.4585845,30.92201046,121.4476143,30.91778534
高桥村法治文化广场,南奉公路444号附近,奉贤区,121.6246077,30.9168879,121.6311828,30.92252978,121.6204208,30.91924918
灵01-灵芝体验基地,灵芝村1002号,奉贤区,121.417455,30.94578063,121.4239065,30.95191588,121.4128345,30.94777747
李窑村广场,兴宝食品店西北边,奉贤区,121.5834586,30.9216657,121.5899099,30.92778373,121.5792745,30.92403474
奉贤区统计法治主题公园,潘垫村修身园,奉贤区,121.3896978,30.87837507,121.3962963,30.88406131,121.3850807,30.88041
文化广场,海湾路与人民塘路交叉口东南380米,奉贤区,121.5124528,30.82714478,121.5190142,30.83285196,121.5081002,30.82942661
奉城村文化广场,奉粮路与万佛阁交叉口西140米,奉贤区,121.6407925,30.92018969,121.6473186,30.9260162,121.6365845,30.92252769
天鹏文化广场,鹏程东街四团社区文化活动中心,奉贤区,121.7239764,30.93970885,121.7305215,30.94546053,121.7196307,30.94189726
萧塘公园,肖南路与南虹路交叉口西南160米,奉贤区,121.4318271,30.9625299,121.4382451,30.968862,121.4272223,30.96453112
点睛广场,航南公路湖心岛公园,奉贤区,121.4970282,30.93350937,121.5036008,30.93914443,121.4926113,30.93568321
集合广场,南桥新城航南公路上海之鱼雕塑艺术公园,奉贤区,121.4983421,30.93146951,121.5049152,30.93710147,121.4939301,30.9336485
泡泡广场,秀竹路泡泡公园,奉贤区,121.49968,30.93037816,121.5062534,30.93600878,121.495273,30.93256182
上海之鱼湖心岛公园,金海公路与航南公路交叉口,奉贤区,121.4963126,30.93395096,121.5028847,30.93958841,121.4918931,30.93612239
星火公园,海湾镇莲塘路明城路,奉贤区,121.5596266,30.85399196,121.566047,30.86035986,121.5554115,30.85637289
邬桥健身公园,安邬路与北环路交叉口西南120米,奉贤区,121.3919446,30.96441663,121.3985244,30.97012252,121.3873188,30.9663997
洪庙文化广场,川南奉公路与水闸路交叉口东60米,奉贤区,121.677708,30.92777404,121.6840966,30.93413155,121.673432,30.93004083
平安社区文化广场,平安镇,奉贤区,121.7284484,30.89933742,121.7350253,30.90503719,121.7241029,30.90154573
岳和文体广场,泰青公路与团青公路交叉口南100米,奉贤区,121.5656638,30.93295,121.5720559,30.9392939,121.5614541,30.93529402
志愿者广场,五四公路1130附近,奉贤区,121.7304902,30.86815536,121.7370909,30.87383941,121.7261461,30.8703803
桐叶广场,秀竹路泡泡公园(金海湖地铁站2号口步行490米),奉贤区,121.4912499,30.92868091,121.4978138,30.9343491,121.4868128,30.93084032
五四文化广场,五四公路,奉贤区,121.7301513,30.86823552,121.7367512,30.87392271,121.7258074,30.87046067
浦秀村文化广场,浦灵路与北环路交叉口北80米,奉贤区,121.4058832,30.96955731,121.4124124,30.97548178,121.4012548,30.97153525
休闲广场,海湾旅游区海涵路6号碧海金沙内,奉贤区,121.5494544,30.82237865,121.5558602,30.82868519,121.5452182,30.82475859
南上海运河公园,奉浦街道运河路沿线,奉贤区,121.4674636,30.92485584,121.4739326,30.93089934,121.4629469,30.92695058
奉城镇人口文化公园,兰博路与新奉公路交叉口东80米,奉贤区,121.6335778,30.9069807,121.6401411,30.91270243,121.6293812,30.90933694
朱新村新凨公园,竹馨丁香苑北侧250米,奉贤区,121.6946415,30.88680509,121.7010871,30.89307118,121.6903379,30.88906509
