FID,lng,lat
836,121.4596327,31.25184604
837,121.4601515,31.25175934
838,121.4590699,31.25565193
839,121.4590637,31.25512601
840,121.4590534,31.25460013
841,121.4593311,31.2547277
842,121.4593406,31.2552536
843,121.4593446,31.25577954
844,121.4593449,31.25630553
845,121.4593452,31.25683151
846,121.4548768,31.25952341
847,121.4548637,31.26004771
848,121.4553745,31.25909189
849,121.455892,31.25918598
850,121.4564095,31.25928007
851,121.456927,31.25937416
852,121.4574445,31.25946825
853,121.457962,31.25956234
854,121.4584795,31.25965644
855,121.4517382,31.25853036
856,121.4522597,31.25859842
857,121.4527797,31.25867743
858,121.4532994,31.25875841
859,121.4538191,31.25883939
860,121.4543388,31.25892037
861,121.4534008,31.25623621
862,121.4530326,31.25661174
863,121.4526643,31.25698728
864,121.452296,31.2573628
865,121.4519275,31.25773814
866,121.451559,31.25811349
867,121.4511683,31.24922202
868,121.4527446,31.24753031
869,121.4527415,31.24700434
870,121.4527413,31.2464784
871,121.4504135,31.24592377
872,121.4500994,31.24634566
873,121.4497891,31.24677025
874,121.4494939,31.24720559
875,121.4491987,31.24764091
876,121.4500867,31.24615969
877,121.4504161,31.24575082
878,121.452043,31.24619619
879,121.4525679,31.24622964
880,121.4515528,31.24755693
881,121.451544,31.24703102
882,121.4515352,31.24650511
883,121.4495434,31.24948659
884,121.4500338,31.24929649
885,121.4505242,31.24910633
886,121.4510628,31.24509985
887,121.451454,31.24474836
888,121.4518444,31.24439588
889,121.4522304,31.24403861
890,121.4507992,31.24796586
891,121.4502757,31.24791461
892,121.4497523,31.24786337
893,121.4492286,31.2478143
894,121.4530952,31.24584443
895,121.4540922,31.24491345
896,121.4542904,31.25366411
897,121.4550015,31.25414485
898,121.455527,31.25412248
899,121.4560528,31.2541114
900,121.4565788,31.25410487
901,121.4571047,31.25409834
902,121.4576307,31.25409307
903,121.4581566,31.25408419
904,121.4586826,31.25407989
