FID,name,province,city,area,address,uid,detail_url,tag,wgs84_lng,wgs84_lat,行业大,行业子,Get_time,ha,value,visit_num
139,智力公园,上海市,上海市,宝山区,呼兰西路3号(近长临路(智力产业园旁)),c0bd5a0488e396f888b98846,http://api.map.baidu.com/place/detail?uid=c0bd5a0488e396f888b98846&output=html&source=placeapi_v2,旅游景点;公园,121.429006,31.34219294,旅游景点,公园,2021/10/25 0:53,3.17508,1,24
140,新江湾城公园,上海市,上海市,杨浦区,政和路与国秀路交叉口北200米,c16534056675ac07ab175af8,http://api.map.baidu.com/place/detail?uid=c16534056675ac07ab175af8&output=html&source=placeapi_v2,旅游景点;公园,121.5089097,31.33543862,旅游景点,公园,2021/10/25 0:53,7.39485,1,1600
141,古城公园,上海市,上海市,黄浦区,上海市黄浦区人民路333号,c16534058baeb378aa175aab,http://api.map.baidu.com/place/detail?uid=c16534058baeb378aa175aab&output=html&source=placeapi_v2,旅游景点;公园,121.4893924,31.23046869,旅游景点,公园,2021/10/25 0:53,3.66654,1,23694
142,梅园公园,上海市,上海市,浦东新区,上海市浦东新区乳山路231号,c31fb52fdd092fbc35b06cb1,http://api.map.baidu.com/place/detail?uid=c31fb52fdd092fbc35b06cb1&output=html&source=placeapi_v2,旅游景点;公园,121.5222106,31.23846754,旅游景点,公园,2021/10/25 0:53,2.10554,1,3982
143,金杨科普公园,上海市,上海市,浦东新区,上海市浦东新区枣庄路319号,c5656684eaaadc5d6ca3cc08,http://api.map.baidu.com/place/detail?uid=c5656684eaaadc5d6ca3cc08&output=html&source=placeapi_v2,旅游景点;公园,121.5699565,31.25760829,旅游景点,公园,2021/10/25 0:53,1.03978,1,2133
144,不夜城公园,上海市,上海市,静安区,华盛路213号,c5ddcc08f697b3c7d91318a8,http://api.map.baidu.com/place/detail?uid=c5ddcc08f697b3c7d91318a8&output=html&source=placeapi_v2,旅游景点;公园,121.4560022,31.24658225,旅游景点,公园,2021/10/25 0:53,3.81,1,13545
145,森兰绿地,上海市,上海市,浦东新区,上海市浦东新区五洲大道与张杨北路交叉口,c6552856fc7507a8c91b950c,http://api.map.baidu.com/place/detail?uid=c6552856fc7507a8c91b950c&output=html&source=placeapi_v2,旅游景点;公园,121.5984417,31.31592863,旅游景点,公园,2021/10/25 0:53,356.77169,1,177
146,新高苑南侧休闲公园,上海市,上海市,浦东新区,上海市浦东新区高东镇高建路新高苑.雅园,cac0f21c32875964c8213ddc,http://api.map.baidu.com/place/detail?uid=cac0f21c32875964c8213ddc&output=html&source=placeapi_v2,旅游景点;公园,121.6161397,31.29222561,旅游景点,公园,2021/10/25 0:53,0.36645,1,371
147,孙桥中心绿地,上海市,上海市,浦东新区,上海市浦东新区科农路725号附近,d02f095a3949f0b4c1f1cf0e,http://api.map.baidu.com/place/detail?uid=d02f095a3949f0b4c1f1cf0e&output=html&source=placeapi_v2,旅游景点;公园,121.6321473,31.17228441,旅游景点,公园,2021/10/25 0:53,2.99802,1,0
148,梦公园,上海市,上海市,徐汇区,上海市徐汇区桂林路907号,d0c76243c69774722cb17e63,http://api.map.baidu.com/place/detail?uid=d0c76243c69774722cb17e63&output=html&source=placeapi_v2,旅游景点;公园,121.4135062,31.18446392,旅游景点,公园,2021/10/25 0:53,9.14869,1,5611
149,泾南公园,上海市,上海市,浦东新区,上海市浦东新区羽山路850号,d219bb1d08d4818af40e77b0,http://api.map.baidu.com/place/detail?uid=d219bb1d08d4818af40e77b0&output=html&source=placeapi_v2,旅游景点;公园,121.5493478,31.23783553,旅游景点,公园,2021/10/25 0:53,2.53269,1,1405
150,前滩友城公园,上海市,上海市,浦东新区,泳耀路与耀体路交叉口西北,d287512b32259089725e8063,http://api.map.baidu.com/place/detail?uid=d287512b32259089725e8063&output=html&source=placeapi_v2,旅游景点;公园,121.4674552,31.15916114,旅游景点,公园,2021/10/25 0:53,12.18894,1,164
151,民星公园,上海市,上海市,杨浦区,上海市杨浦区嫩江路1111号(近中原路),d4034eb3b18ceaf7c0364421,http://api.map.baidu.com/place/detail?uid=d4034eb3b18ceaf7c0364421&output=html&source=placeapi_v2,旅游景点;公园,121.5303435,31.31610211,旅游景点,公园,2021/10/25 0:53,2.81099,1,3437
152,漕河泾开发区公园,上海市,上海市,徐汇区,上海市徐汇区桂果路601号,d5f93c0e22026f5deddfcad9,http://api.map.baidu.com/place/detail?uid=d5f93c0e22026f5deddfcad9&output=html&source=placeapi_v2,旅游景点;公园,121.3957102,31.1709819,旅游景点,公园,2021/10/25 0:53,4.30341,1,9805
153,徐汇跑道公园,上海市,上海市,徐汇区,上海市徐汇区龙兰路与云锦路交叉路口往北约220米,d677ca0002712758b34c4991,http://api.map.baidu.com/place/detail?uid=d677ca0002712758b34c4991&output=html&source=placeapi_v2,旅游景点;公园,121.4531807,31.17032,旅游景点,公园,2021/10/25 0:53,2.31754,1,3599
154,梅川梅花主题公园,上海市,上海市,普陀区,上海市普陀区武宁路2361号(沪宁高速公路武宁路),d6c5d99134c1bee930169bc9,http://api.map.baidu.com/place/detail?uid=d6c5d99134c1bee930169bc9&output=html&source=placeapi_v2,旅游景点;公园,121.3881105,31.2471227,旅游景点,公园,2021/10/25 0:53,1.08388,1,618
155,长宁老年公园,上海市,上海市,长宁区,上海市长宁区水城路735号,d6df91c16e11366bf7b91662,http://api.map.baidu.com/place/detail?uid=d6df91c16e11366bf7b91662&output=html&source=placeapi_v2,旅游景点;公园,121.3864662,31.21489027,旅游景点,公园,2021/10/25 0:53,0.63017,1,20008
156,太平桥公园,上海市,上海市,黄浦区,上海市黄浦区自忠路170号,d6ee8724079893e1a9f0cd96,http://api.map.baidu.com/place/detail?uid=d6ee8724079893e1a9f0cd96&output=html&source=placeapi_v2,旅游景点;公园,121.4722807,31.22155937,旅游景点,公园,2021/10/25 0:53,2.8973,1,131592
157,江浦公园,上海市,上海市,杨浦区,上海市杨浦区长阳路1111号,d7fd2ad34f73f04d0bccdd08,http://api.map.baidu.com/place/detail?uid=d7fd2ad34f73f04d0bccdd08&output=html&source=placeapi_v2,旅游景点;公园,121.5197635,31.26802831,旅游景点,公园,2021/10/25 0:53,3.48191,1,4031
158,泗塘公园,上海市,上海市,宝山区,上海市宝山区爱晖路710号,d82d669784b188a7d518b743,http://api.map.baidu.com/place/detail?uid=d82d669784b188a7d518b743&output=html&source=placeapi_v2,旅游景点;公园,121.445666,31.33995698,旅游景点,公园,2021/10/25 0:53,6.14558,1,2420
