adname,adress,divisions,lng,lat
南大公园,丰收东路388弄,宝山区,121.3664152,31.30802095
祁连公园,塘祁路1356号,宝山区,121.3736041,31.32923113
丰翔智秀公园,工业路与山连路交叉口东北100米,宝山区,121.354852,31.30788999
新境地公园,高境路与殷高西路交叉口北120米,宝山区,121.4711947,31.32403755
格力特体育公园,长江西路与通南路167弄交叉口西300米,宝山区,121.4641262,31.34438032
罗泾镇健康主题公园,罗泾镇潘沪路298号(近罗宁路)罗泾公园(北区)内(东侧),宝山区,121.3237796,31.48416263
阳泉公园,阳泉路1401号,宝山区,121.4601836,31.32859986
主题广场,罗泾镇潘沪路与罗宁路交叉口罗泾公园北园,宝山区,121.3233376,31.48441943
大华行知公园,真华路1105号,宝山区,121.4054761,31.27964865
诺贝尔科技公园,罗迎路299号,宝山区,121.354151,31.40336334
白沙公园,杨行镇白沙园路601号,宝山区,121.4325598,31.39770787
庙行公园,刘场路庙行公园(近庙行卫生医疗中心),宝山区,121.4245488,31.32721878
泗塘公园,张庙街道爱辉路70号,宝山区,121.4456088,31.34000756
华灵公园,华灵路698号(大华三路地铁站1号口步行350米),宝山区,121.4181158,31.27996847
月园口袋公园,月浦镇庆安四村,宝山区,121.4264207,31.40543209
盘古公园,盘古路与铁峰路交叉口西北角,宝山区,121.4477339,31.40007702
樱花广场,顾村镇沪太路4788号顾村公园内森林休闲运动园,宝山区,121.366062,31.3394028
罗新公园,罗溪路709号,宝山区,121.3413923,31.42666872
滨水社区公园,潘泾路与顾北东路交叉口,宝山区,121.3974002,31.36215365
罗溪公园,罗店镇市一路130号,宝山区,121.346636,31.41975527
TOGETHER FUN体育公园,蕰川路与南北高架路入口交叉口东南160米,宝山区,121.4304073,31.34713848
桥空间体育公园,南北高架路与蕰川路交叉口西50米,宝山区,121.4315324,31.34573161
吴淞公园,泰和路5号(近吴淞码头),宝山区,121.4957871,31.37893278
胡庄公园,泰和西路与富长路交叉口西200米,宝山区,121.4145186,31.35462242
上海长滩坡地公园,牡丹江路1893号,宝山区,121.4735626,31.41639503
上海钢雕公园,长江西路101号,宝山区,121.4755442,31.34816015
淞南公园,淞良路300号(近淞发路),宝山区,121.4820591,31.34290573
美兰湖中央公园,美兰湖路与陆翔路交叉口东北角,宝山区,121.3452719,31.39640792
宝山区绿地公园,陆翔路111弄2号楼1619室,宝山区,121.3662269,31.34841048
果园河公园,东至罗和路西至果园河,宝山区,121.3355409,31.38211366
罗泾水源涵养林,罗泾镇川纪路,宝山区,121.3573373,31.48309847
白鹭园,山茶路,宝山区,121.3414575,31.45712965
菊盛公园南区,菊盛公园(东南角),宝山区,121.3664651,31.35388134
菊盛公园北区,菊盛公园,宝山区,121.3651148,31.35649713
泰力宝体育公园,淞宝路155弄,宝山区,121.4958791,31.38247799
泗塘篮球公园,共江路152号(近爱晖路),宝山区,121.453124,31.33242255
韶山路沪联路口袋公园,韶山路沪联路绿地结合,宝山区,121.3611924,31.36215543
菊盛公园,顾村镇菊太路与菊盛路交汇处西50米,宝山区,121.3658339,31.35502773
尊木公园,沪太路2695号尊木汇国际广场内,宝山区,121.4065667,31.31290179
古银杏公园,堡镇四滧村滧镇,崇明区,121.6470757,31.53362744
双拥广场,定澜路崇明新城公园(东南角),崇明区,121.4208571,31.62059567
自行车主题公园,陈家镇(近长江隧桥出口处),崇明区,121.835341,31.48482033
没顶公园,六滧公路西100米,崇明区,121.7741515,31.59426781
振华公园西园,潘圆公路与长征路交叉口东420米,崇明区,121.658526,31.40729388
富民苑竖新镇市民公园,草港公路富民苑,崇明区,121.594149,31.61433107
振华公园东园,潘圆公路3800号附近,崇明区,121.6588424,31.40718831
前卫1966郊野公园,长兴岛秋柑路199号长兴岛郊野公园(西北角),崇明区,121.7019153,31.41218258
崇明新城公园,城桥镇江帆路381弄,崇明区,121.419278,31.62262408
东滩湿地公园,东旺路,崇明区,121.947059,31.51902347
健康主题公园,北陈公路与前裕公路交叉口东北80米,崇明区,121.8267237,31.5251523
潘石公园,潘石北路1号,崇明区,121.6344968,31.42153259
陈家镇自行车公园,中滨路,崇明区,121.8362624,31.48415413
长兴岛湿地公园,金岸路与丰福路交叉口东220米,崇明区,121.7005529,31.38104947
堡镇市民公园,堡镇石岛路280号,崇明区,121.6170395,31.53148684
双津村村民公园,协津公路与陈海公路交叉口东100米,崇明区,121.3861353,31.66987952
凤凰公园,凤环路与长兴江南大道交叉口东北100米,崇明区,121.6913785,31.39136917
新隆村公园,向蟠公路与崇明新草路交叉口东60米,崇明区,121.5277695,31.61914142
东平国家森林公园-知青广场,北沿公路2288号东平国家森林公园(东南角),崇明区,121.4782186,31.68106669
东平市民公园,东平镇东冉路820号,崇明区,121.5351169,31.67869601
博爱公园,渔乐路与凤凰公路交叉口东180米,崇明区,121.6911017,31.39449373
合欢公园,建港公路与港东三路交叉口西北160米,崇明区,121.4113216,31.67689412
前卫生态村-生态岛主题公园,竖新镇前卫村前卫生态村内,崇明区,121.5083677,31.7250945
廉洁文化主题公园,海舸路505号,崇明区,121.6982206,31.39032129
胜林公园,区X522(建设公路),崇明区,121.4530019,31.67430631
西沙明珠湖景区-明珠湖公园,三华公路333号,崇明区,121.2481186,31.73792135
渔港公园,长兴岛内(南侧),崇明区,121.7836462,31.35313119
健康科普公园,凤舞路与长橘路交叉口北80米,崇明区,121.6967064,31.39675983
鲁玙市民公园,合五公路3147号,崇明区,121.6905276,31.57156835
崇明C湖公园,崇州路与翠竹路交口,崇明区,121.4165544,31.6296566
黄杨公园,合五公路与草港公路交叉口西南100米,崇明区,121.6954375,31.57154416
三治融合主题广场,521乡道南侧,平湖市,121.1603918,30.77460714
成美公园,廊下新风路与廊华路交叉口东南320米,平湖市,121.186413,30.78242199
309口袋公园,永嘉路,徐汇区,121.4539046,31.21109165
桂江公园,韵达快运(宜山路服务站),徐汇区,121.3998399,31.16174995
有氧公园,零陵路与火炬台路交叉口东80米,徐汇区,121.4361902,31.18515575
吴兴公园,衡山路吴兴路路口(衡山路地铁站1号口步行250米),徐汇区,121.4399144,31.20421786
漕河泾开发区公园,桂果路601号(近宜山路),徐汇区,121.395684,31.17116108
口袋公园,漕东支路至龙田路,徐汇区,121.4369666,31.17652742
百花街口袋公园,百花街与江安路交叉口南200米,徐汇区,121.4104653,31.14867931
天钥桥路口袋公园,汇联商厦南侧,徐汇区,121.4368678,31.19428235
徐家汇公园,肇嘉浜路986号(徐家汇地铁站14号口步行250米),徐汇区,121.4378554,31.19928759
梦公园,桂林路907号(吴中路地铁站2号口步行70米),徐汇区,121.4133725,31.18450367
老鹰公园,田林街道田林三中对面(近田林东路),徐汇区,121.4258068,31.17556734
黄道婆纪念公园,徐梅路700号,徐汇区,121.4441778,31.12648212
上海市滨江滑板公园,瑞宁路,徐汇区,121.463243,31.18792392
西岸自然艺术公园,华泾路190号,徐汇区,121.4479664,31.12367043
桂林公园,漕宝路188号(桂林公园地铁站5号口步行100米),徐汇区,121.4132899,31.16719243
嘉川路小游园,凌云路283号,徐汇区,121.4139621,31.13636613
徐家汇公园法治文化广场,徐家汇公园东北角,徐汇区,121.4384515,31.20115372
东安公园,中山南二路811号(龙华中路地铁站10号口步行220米),徐汇区,121.4497776,31.18712312
光启公园,南丹路17号(徐家汇地铁站1号口步行230米),徐汇区,121.4300102,31.19144798
康健社区体育公园,康健新村街道桂林西街168号康健社区体育场内(近浦北路),徐汇区,121.4131929,31.15450096
花桥青年城市公园,Y466(绿地大道),昆山市,121.1360155,31.28344412
沪太公园,新村路37号(近沪太路),普陀区,121.434739,31.26991688
万里公园,富平路715号附近,普陀区,121.4032064,31.26681041
真如公园,大渡河路1894号(近铜川路),普陀区,121.3946628,31.25485915
槎浦公园,金迈路303号,普陀区,121.3260174,31.28987145
