name,adress,divisions,lng,lat
花木公园,杜鹃路332号(龙阳路地铁站8号口步行490米),浦东新区,121.54966825877284,31.20601686005233
和平公园-和平广场,新港路和平公园(西南角),虹口区,121.49743716395852,31.271703031338557
浦东体育公园,源深路655号(源深体育中心地铁站2号口步行370米),浦东新区,121.53202411336602,31.23350314255316
南浦广场公园,浦东南路2277号,浦东新区,121.51106441045906,31.205131746319253
蓬莱公园,南车站路350号,黄浦区,121.48704123978814,31.2081038747165
紫蝶公园,繁锦路1003号(洲海路地铁站2号口步行470米),浦东新区,121.58243360547915,31.31282391177735
静安公园,华山路189号(静安寺地铁站2号口步行110米),静安区,121.44228602083824,31.223893891714205
世博文化公园,济坤路100号,浦东新区,121.47232165744543,31.18110271911604
淮海公园,太仓路56号,黄浦区,121.47305434582532,31.22501035878101
交通公园,新马路262号,静安区,121.46288758035124,31.249392874836207
张江艺术公园,张江镇张江高科技园区松涛路666号,浦东新区,121.5800084720843,31.20536547121884
柳园公园,世纪大道(浦东南路地铁站3B口步行450米),浦东新区,121.50337135219787,31.23801461217124
徐家汇公园,肇嘉浜路986号(徐家汇地铁站14号口步行250米),徐汇区,121.43785543944688,31.199287586366964
中山公园,长宁路780号,长宁区,121.41440196043574,31.223462454046476
世纪公园管理楼,陆家嘴金融贸易区锦绣路1001号世纪公园(东北角),浦东新区,121.5546811313912,31.22332456309066
高东公园,光灿路118号,浦东新区,121.62087170785088,31.32953677058543
华夏公园,华夏东路285号(近外环),浦东新区,121.64461535848656,31.19489607560596
口袋公园,江浦路与龙江路交叉口(丹阳路地铁站4号口步行250米),杨浦区,121.52484453373008,31.25847849935049
长岛路健康理念公园,长岛路521号长岛路休闲广场,浦东新区,121.57550497147042,31.26505587920414
世纪公园-观星广场,陆家嘴金融贸易区锦绣路1001号世纪公园内(东侧),浦东新区,121.55574293508938,31.216664492289784
后滩公园,世博文化公园北侧,浦东新区,121.4682359069904,31.18549331805313
九子公园,成都北路1018号,黄浦区,121.45948891557924,31.24243141671116
商船会馆公园,会馆街38号,黄浦区,121.49998714718087,31.21498228580773
港城公园,高桥镇欧高路509号,浦东新区,121.57621100233608,31.35854171517656
黄兴全民体育公园-仲益体育公园,五角场街道双阳北路363号黄兴全民体育公园(东北角),杨浦区,121.52445280162068,31.299789237608557
大宁公园罗马广场,广中西路288号,静安区,121.43603106811662,31.275839503359997
广兰公园,张江镇广兰路965号(近紫薇路),浦东新区,121.61555945327724,31.210876517967503
培花公园,芳草路206-208号(芳华路地铁站2号口步行480米),浦东新区,121.55024848512646,31.195634034724943
前滩休闲公园,前滩大道北侧滨江,浦东新区,121.46165510496738,31.152825863029907
四平科技公园-中心广场,内环高架路四平科技公园(国权路地铁站3号口步行380米),杨浦区,121.5028601983096,31.289143988941515
彭浦四季公园,临汾路1568号,静安区,121.4311173064096,31.31593175414225
丽园公园,丽园路565号,黄浦区,121.4743219402953,31.209289389815265
森兰绿地,高行镇启帆路628号,浦东新区,121.59494760104576,31.30896301808582
三泉公园,保德路1200号(共和新路口),静安区,121.44244629263696,31.317339527668253
延中广场公园春之园,巨鹿路与瑞金一路交叉口东北角,黄浦区,121.46058366741065,31.22514311473732
